	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
22304	Tns2	chr7	"143702622-143720995,143704690-143720995,143704803-143720995,143704803-143720995,143704813-143720995,143712425-143720995,143712474-143720995"	56	0.176297	143702630	0.753755078	TNS2
22305	Tns3	chr14	"88673921-88805507,88673921-88835743,88673921-88841273,88673921-88846871,88673921-88868663,88673921-88879216,88673921-88907352,88673921-88907353,88673921-88907874,88673921-88907874"	782	6.19E-05	88914462	4.208144505	TNS3
22306	Tns4	chr10	86977503-87001256	61	0.0432795	86970240	1.363717765	TNS4
22307	Tnxa-ps1	chr20	4485315-4486671	4	0.0348667	4475847	1.457589155	
22308	Tob1	chr10	81913688-81915727	36	0.0878709	81907326	1.056154925	TOB1
22309	Tob2	chr7	123079519-123088240	18	0.0286969	123088138	1.542165016	TOB2
22310	Toe1	chr5	"135659732-135663208,135659732-135663208,135659732-135663216,135659732-135663294,135659733-135663299"	40	0.0107392	135651575	1.96902807	TOE1
22311	Tollip	chr1	"214823992-214841249,214823994-214844861"	76	0.0131395	214851689	1.881421161	TOLLIP
22312	Tom1	chr19	"14392404-14426482,14392465-14426482,14392476-14426481"	178	0.450084	14426012	0.346706425	TOM1
22313	Tom1l1	chr10	"78173846-78219793,78174052-78219805"	74	0.0215099	78215669	1.667361609	TOM1L1
22314	Tom1l2	chr10	"46599391-46720921,46599391-46720921,46599391-46720921,46599391-46720921,46603832-46720921,46603833-46653159,46603833-46667950,46603834-46720921,46603834-46720921,46612638-46720910"	68	0.0326933	46593899	1.48554124	TOM1L2
22315	Tomm20	chr19	59863420-59873411	1	0.754937	59863784	0.122089289	TOMM20
22316	Tomm20l	chr6	"93538376-93544129,93538382-93549533"	37	0.0212249	93546269	1.673154347	TOMM20L
22317	Tomm22	chr7	120901933-120903684	41	0.0077696	120913154	2.109601339	TOMM22
22318	Tomm34	chr3	"160448293-160464959,160448296-160465143"	61	0.18583	160445013	0.730884173	TOMM34
22319	Tomm40	chr1	"80617748-80630253,80618153-80630038"	25	0.533423	80636393	0.272928262	TOMM40
22320	Tomm40l	chr13	"89590075-89595287,89591916-89594606"	22	0.290668	89585918	0.536602778	TOMM40L
22321	Tomm5	chr5	60655707-60658568	1	0.017586	60646540	1.754832931	TOMM5
22322	Tomm6	chr9	15313345-15314872	40	0.195279	15312790	0.709344458	TOMM6
22323	Tomm70	chr11	"45477052-45511098,45478991-45511403,45483824-45511408,45483824-45511409"	61	0.82199	45479264	0.085133466	TOMM70
22324	Tonsl	chr7	"117688396-117703094,117688397-117703139,117690512-117703139"	38	0.00148596	117692789	2.827992881	TONSL
22325	Top1mt	chr7	"116688800-116714421,116688802-116712159,116688808-116711837"	103	7.68E-05	116680633	4.114410383	TOP1MT
22326	Top2a	chr10	86901466-86930947	132	0.0481555	86926316	1.317354103	TOP2A
22327	Top3a	chr10	46980645-47018728	53	0.0104801	47017541	1.979634573	TOP3A
22328	Top3b	chr11	"88346304-88374679,88346310-88374366,88346310-88374366,88346310-88374530,88346310-88374530,88346310-88374530,88346310-88374896,88346310-88374896,88346310-88374896,88346310-88374896,88346310-88374896"	183	0.334995	88380728	0.474961675	TOP3B
22329	Topaz1	chr8	"131788815-131843668,131788815-131843668,131788815-131843668,131788815-131843668,131788815-131843668"	163	0.0367765	131790218	1.434429605	TOPAZ1
22330	Topbp1	chr8	"111790654-111826531,111790655-111835224,111790784-111826531"	10	0.810295	111784941	0.091356841	TOPBP1
22331	Topors	chr5	56554955-56566503	85	0.589413	56565837	0.22958029	TOPORS
22332	Tor1a	chr3	9800321-9807318	53	0.358906	9812436	0.445019281	TOR1A
22333	Tor1aip1	chr13	"73670648-73704668,73670649-73703162,73670649-73703973"	82	0.230056	73665820	0.638166436	TOR1AIP1
22334	Tor1aip2	chr13	"73704087-73735338,73708814-73720429,73708814-73720429,73708814-73735339,73708985-73735335,73718485-73735335"	66	0.155701	73722547	0.807708598	TOR1AIP2
22335	Tor1b	chr3	"9792817-9796527,9792898-9798924"	59	0.370379	9786619	0.431353645	TOR1B
22336	Tor2a	chr3	"11794730-11800261,11795628-11799695,11795740-11800261"	31	0.378903	11806467	0.421471956	TOR2A
22337	Tor3a	chr13	"74246503-74277694,74246503-74277694,74252404-74276964"	74	0.0635862	74243593	1.196637128	TOR3A
22338	Tor4a	chr3	2407856-2411544	23	0.832884	2417885	0.079415481	TOR4A
22339	Tox	chr5	"19892697-20189721,19892877-20048122,19892877-20189018,19892877-20189442"	488	0.0345762	20183430	1.461222738	TOX
22340	Tox2	chr3	"159569328-159694341,159569362-159694756,159570762-159694341,159570762-159694414,159571475-159694414"	282	0.092667	159656368	1.033074897	TOX2
22341	Tox3	chr19	"18079021-18188366,18079021-18188366,18157941-18188130"	82	0.148048	18175713	0.829597455	TOX3
22342	Tox4	chr15	28696377-28709960	14	0.815556	28715714	0.088546213	TOX4
22343	Tp53	chr10	"56186298-56197912,56186298-56198449,56186298-56198449,56187019-56198449,56187960-56197912"	8	0.0484869	56202732	1.314375582	TP53
22344	Tp53bp1	chr3	"113160029-113231794,113160029-113251831,113160029-113251831,113160029-113252655,113160029-113259701"	244	0.034932	113218648	1.456776549	TP53BP1
22345	Tp53bp2	chr13	100817205-100873837	99	0.582933	100834847	0.234381358	TP53BP2
22346	Tp53i11	chr3	"82081837-82097064,82081838-82097061,82081838-82097064,82081896-82097058,82091494-82097064"	13	0.412946	82104679	0.384106736	TP53I11
22347	Tp53i13	chr10	"62650639-62655327,62650709-62655327"	8	0.309805	62659716	0.508911577	TP53I13
22348	Tp53i3	chr13	"75101758-75145967,75105571-75145967,75108891-75145967,75111043-75145967,75111578-75145967,75111578-75145967,75111578-75145967,75111908-75143424"	184	0.197685	75120291	0.704026283	
22349	Tp53inp1	chr5	"24402894-24419651,24402906-24412915,24402906-24414692,24402906-24416550,24410870-24416888"	31	0.0831256	24393092	1.080265207	TP53INP1
22350	Tp53inp2	chr3	"150910397-150918525,150910600-150918519,150910600-150918519"	37	0.0308057	150921025	1.511368918	TP53INP2
22351	Tp53rk	chr3	163552165-163555925	28	0.0645938	163548505	1.189809166	TP53RK
22352	Tp53tg5	chr3	160916452-160922744	24	0.0108071	160931541	1.96629083	TP53TG5
22353	Tp63	chr11	"78234852-78327282,78234852-78327282,78234852-78456200,78234852-78456200,78234870-78456281,78234870-78456559,78245461-78456281,78250396-78327282,78250396-78456200"	538	0.231821	78350245	0.634847225	TP63
22354	Tpbg	chr8	"93491760-93495130,93491983-93495132,93492176-93495132,93492510-93495132"	38	0.0129233	93504027	1.888626574	TPBG
22355	Tpbgl	chr1	164588031-164591872	43	0.507003	164588496	0.294989471	TPBGL
22356	Tpcn1	chr12	41507783-41566847	277	0.170166	41561900	0.76912721	TPCN1
22357	Tpcn2	chr1	"218419181-218448902,218419183-218448877,218419838-218448902"	132	0.003172	218445275	2.498666821	TPCN2
22358	Tpcr12	chr10	34402411-34403587	162	0.0125437	34397100	1.901574341	
22359	Tpd52	chr2	"94959731-95041277,94959731-95041277,94959731-95041277,95006082-95041277,95007838-95041277,95007839-95041277,95008476-95039076"	382	0.225018	95039085	0.64778274	TPD52
22360	Tpd52l1	chr1	"28454948-28576023,28454948-28578736,28454949-28578736,28454950-28578736,28455050-28576554"	2	0.850021	28546959	0.070570345	TPD52L1
22361	Tpd52l2	chr3	"176989332-177005775,176989670-177009425,176989671-177001009,176989671-177008424,176989671-177009425,176989671-177009425,176989671-177009425,176989673-177009425,176989674-177009425,176989676-177009425"	10	0.757269	177012591	0.120749821	TPD52L2
22362	Tpd52l3	chr1	"248187428-248202090,248191789-248202090,248195718-248198008"	14	0.65153	248179106	0.186065582	TPD52L3
22363	Tpgs1	chr7	12912250-12918173	18	0.106193	12904950	0.97390411	TPGS1
22364	Tpgs2	chr18	17339032-17396886	85	0.00561302	17359846	2.25080341	TPGS2
22365	Tph1	chr1	"102669867-102699442,102671282-102697617,102671282-102699412"	32	0.537488	102704766	0.269631227	TPH1
22366	Tph2	chr7	"58042278-58149218,58042278-58149220,58042280-58149061"	121	0.22526	58121499	0.64731592	TPH2
22367	Tpk1	chr4	"72792251-73174179,72793813-73006585"	554	0.0962819	72961941	1.016455348	TPK1
22368	Tpm2	chr5	"59016615-59025971,59016620-59025631,59017573-59025631,59017573-59025971"	58	0.766418	59008066	0.115534304	TPM2
22369	Tpm3	chr2	"189423533-189449244,189423533-189449989,189423533-189450110,189423534-189441278,189423534-189451340,189423534-189451340,189423535-189443459,189423535-189449244,189423535-189449989,189423535-189450110,189423558-189442323,189429973-189449244,189429979-189449989,189429982-189449244,189429983-189441278,189429983-189451340,189430040-189451041,189430082-189442323,189430082-189449236,189430164-189451340"	29	0.176052	189448201	0.754359037	TPM3
22370	Tpm4	chr16	19385809-19399851	122	0.0161165	19398718	1.792729267	TPM4
22371	Tpmt	chr17	"18029089-18047716,18031227-18047501"	56	0.0215285	18050906	1.666986229	TPMT
22372	Tpo	chr6	"49020917-49089849,49021031-49089855,49039246-49089159"	180	0.0590738	49065345	1.228605092	TPO
22373	Tpp1	chr1	170588035-170594159	12	0.000943313	170596114	3.02534418	TPP1
22374	Tpp2	chr9	"50578867-50628943,50664047-50739548,50664047-50744803,50664136-50744803"	1	0.163625	50631459	0.78615034	TPP2
22375	Tppp2	chr15	28319174-28321469	17	0.892666	28320981	0.049311006	TPPP2
22376	Tppp3	chr19	"37424322-37427989,37424322-37428075"	24	0.517713	37425973	0.28591093	TPPP3
22377	Tpr	chr13	"67611684-67672833,67611707-67672827"	89	0.00068992	67613923	3.161201265	TPR
22378	Tprg1	chr11	78733045-78861745	137	0.15372	78785984	0.813269624	TPRG1
22379	Tprg1l	chr5	"171456298-171459488,171456298-171459488"	1	0.654587	171467638	0.184032624	TPRG1L
22380	Tprn	chr3	2480231-2487710	12	0.179865	2493456	0.745053338	TPRN
22381	Tpsab1	chr10	14701252-14703668	26	0.00689007	14700766	2.161776366	TPSAB1
22382	Tpsb2	chr10	14722671-14724464	31	0.00762633	14730050	2.117684406	TPSB2
22383	Tpsg1	chr10	"14724530-14731259,14727179-14731086"	36	0.00581263	14737192	2.235627321	TPSG1
22384	Tpst1	chr12	"30045752-30106819,30045752-30112377,30045988-30106889"	201	0.019173	30037925	1.717309928	TPST1
22385	Tpst2	chr12	50343075-50383534	83	0.606692	50391862	0.217031732	TPST2
22386	Tpt1	chr15	57891679-57894504	98	0.215447	57899099	0.666659549	TPT1
22387	Tpte2	chr16	"74552858-74629621,74556850-74629621,74556850-74630155,74556850-74630712,74558528-74662194"	448	0.00583029	74563899	2.234309843	TPTE
22388	Tpx2	chr3	"148327964-148370187,148327969-148369971,148327969-148369971,148327969-148369971,148327969-148369971,148331867-148369971,148331867-148369971"	48	0.0871195	148371281	1.059884626	TPX2
22389	Tra2a	chr4	"78905379-78924181,78905422-78919155,78905422-78924203,78905422-78924203,78905422-78924203,78905422-78924203"	39	0.463949	78922334	0.333529757	TRA2A
22390	Tra2b	chr11	"82373827-82392208,82373828-82392208,82373869-82392083"	41	0.588553	82387244	0.230214422	TRA2B
22391	Trabd	chr7	"130058251-130069224,130058363-130069222"	65	0.0306859	130054034	1.513061135	TRABD
22392	Trabd2b	chr5	"133220985-133425467,133220985-133434559,133220985-133434576,133220985-133435283,133220985-133435283,133220985-133435767,133220985-133435768,133220985-133435770,133220985-133435770,133220985-133437151"	384	0.00614708	133212941	2.211331135	TRABD2B
22393	Tradd	chr19	"37214460-37221099,37214470-37216572,37214470-37221099"	14	0.544207	37222223	0.264235876	TRADD
22394	Traf1	chr3	"14003339-14019204,14003345-14022955,14003345-14022955"	72	0.428103	14008262	0.368451729	TRAF1
22395	Traf2	chr3	"2746060-2770599,2746068-2770640,2746068-2770690,2746074-2770620"	64	0.165562	2756051	0.781039336	TRAF2
22396	Traf3	chr6	"135610697-135720247,135610742-135720247"	6	0.0838192	135729579	1.076656489	TRAF3
22397	Traf3ip1	chr9	"98621498-98658223,98621499-98658223,98621500-98658223,98621501-98658223,98621505-98656844"	67	0.10745	98665775	0.96879358	TRAF3IP1
22398	Traf3ip2	chr20	"44679860-44719461,44679860-44722690,44680448-44722874,44681873-44722874"	72	0.137724	44725180	0.860990372	TRAF3IP2
22399	Traf3ip3	chr13	"111892743-111917368,111892798-111915404,111892964-111915403"	80	0.463683	111911007	0.333778826	TRAF3IP3
22400	Traf4	chr10	"65418687-65424574,65418697-65424802"	5	0.269816	65420078	0.5689323	TRAF4
22401	Traf5	chr13	110758555-110801871	67	0.0839345	110796999	1.076059492	TRAF5
22402	Traf6	chr3	91252828-91271607	67	0.504911	91280213	0.296785168	TRAF6
22403	Traf7	chr10	"13874443-13884478,13874443-13884573,13874443-13884573,13874443-13884618,13874443-13884618,13874443-13893087,13874443-13893087,13874443-13893087,13874455-13884504,13874455-13884510,13874455-13884528,13874455-13884528,13874455-13892997,13874455-13893088,13874455-13893088,13874455-13893089,13874455-13893089,13874455-13893090"	40	0.00667657	13866179	2.175446593	TRAF7
22404	Trafd1	chr12	"40695519-40709438,40695711-40709438"	53	0.0782851	40717192	1.106320889	TRAFD1
22405	Traip	chr8	"116730169-116748955,116730751-116750528"	78	0.042653	116732257	1.370050417	TRAIP
22406	Trak1	chr8	"129946595-130106382,129947654-130106382,129990729-130106382,130006785-130106382,130009572-130106382,130021152-130106382,130038068-130106382,130040947-130106382,130041874-130089103,130046890-130106382"	1	0.528573	129939853	0.276895025	TRAK1
22407	Trak2	chr9	"65698705-65763351,65698705-65763351,65698708-65763273"	102	0.131792	65692696	0.880110951	TRAK2
22408	Tram1	chr5	5215195-5297337	42	0.198068	5287463	0.703185684	TRAM1
22409	Tram1l1	chr2	228544417-228546599	76	0.099547	228549832	1.001971824	TRAM1L1
22410	Tram2	chr9	27117860-27192166	116	0.145442	27198730	0.837310162	TRAM2
22411	Trank1	chr8	119566508-119644249	69	2.51E-05	119582041	4.599503456	TRANK1
22412	Trap1	chr10	11724031-11757682	14	0.0134447	11732330	1.871448884	TRAP1
22413	Trappc1	chr10	55924995-55926582	12	0.127709	55915554	0.893778496	TRAPPC1
22414	Trappc10	chr20	11168297-11228634	400	0.197496	11170413	0.704441696	TRAPPC10
22415	Trappc11	chr16	"47874992-47920822,47875071-47920822,47875247-47920822"	58	0.130795	47901449	0.883408858	TRAPPC11
22416	Trappc12	chr6	"47954821-48020279,47954821-48020280"	243	0.251472	48020642	0.599510364	TRAPPC12
22417	Trappc13	chr2	"34223395-34254995,34223395-34254995,34223395-34254995,34223397-34254949"	33	0.00495381	34224564	2.305060654	TRAPPC13
22418	Trappc2l	chr19	"55423349-55427036,55423385-55428551"	57	0.618213	55431355	0.208861867	TRAPPC2L
22419	Trappc3	chr5	144281719-144295306	38	0.00386272	144304771	2.413106772	TRAPPC3
22420	Trappc3l	chr20	"27578267-27664689,27592078-27664689,27609828-27664689,27609833-27664689,27621870-27664689"	60	0.0255511	27570027	1.592590398	TRAPPC3L
22421	Trappc4	chr8	"48723754-48726790,48723754-48727182,48723818-48726956"	43	0.616471	48727504	0.210087349	TRAPPC4
22422	Trappc5	chr12	"2228669-2232231,2228743-2232973"	74	6.39E-10	2229369	9.194200879	TRAPPC5
22423	Trappc6a	chr1	"80417513-80424429,80417638-80424424"	33	0.874261	80418716	0.058358895	TRAPPC6A
22424	Trappc6b	chr6	80142125-80153216	78	0.0240226	80159885	1.61937999	TRAPPC6B
22425	Trappc8	chr18	"15298672-15375034,15298672-15375034,15298977-15375031"	134	0.060922	15384856	1.215225848	TRAPPC8
22426	Trappc9	chr7	113986362-114309090	418	0.126938	114283741	0.896408349	TRAPPC9
22427	Trat1	chr11	54619168-54661284	319	0.0561859	54641095	1.250372658	TRAT1
22428	Trdmt1	chr17	"80824651-80855860,80826748-80859585"	1	0.542047	80842581	0.265963055	TRDMT1
22429	Trdn	chr1	25403389-25787664	646	0.0095879	25644101	2.018276504	TRDN
22430	Trem1	chr9	"14727886-14738948,14727889-14743369,14728192-14743371"	5	0.0811579	14736548	1.090669199	TREM1
22431	Trem2	chr9	"14611540-14618076,14611558-14618073,14611560-14618013"	62	0.0616202	14620981	1.210276896	TREM2
22432	Trem3	chr9	"14713934-14724093,14721846-14725945"	15	0.0828096	14726230	1.081919313	
22433	Treml1	chr9	14597171-14603622	17	0.0648998	14609112	1.187756642	TREML1
22434	Treml2	chr9	"14659966-14668313,14660752-14668313,14661067-14668313,14661081-14668313"	203	0.0535315	14677991	1.271390587	TREML2
22435	Treml4	chr9	"14668690-14707075,14668690-14707090,14681613-14707087,14681613-14707089,14681613-14707092,14681613-14707122"	251	0.0501011	14685850	1.300152739	TREML4
22436	Trerf1	chr9	"15653229-15878436,15653229-15878716,15653229-15878716,15653229-15878717,15653229-15878717,15653229-15878717,15653229-15878836,15653229-15881695,15655737-15700312"	527	0.274508	15721479	0.561444994	TRERF1
22437	Trex1	chr8	117796126-117797427	8	7.46E-06	117796735	5.127357823	TREX1
22438	Trh	chr4	"124110715-124113242,124110721-124113108"	22	0.614072	124113781	0.211780705	TRH
22439	Trhde	chr7	57253022-57679795	852	0.132419	57452628	0.878049696	TRHDE
22440	Trhr	chr7	"83113640-83153520,83113640-83153520,83113640-83153520,83113640-83153520,83113671-83153520"	88	0.289635	83144384	0.538148958	TRHR
22441	Triap1	chr12	"46987403-46989897,46987409-46989906,47029044-47031541,47029044-47031541"	8	0.761832	46977931	0.118140789	TRIAP1
22442	Trib1	chr7	99954491-99961026	7	0.471608	99952212	0.326418836	TRIB1
22443	Trib2	chr6	"41016721-41039437,41016721-41040972"	60	0.301904	41030649	0.520131133	TRIB2
22444	Trib3	chr3	147814055-147819650	45	0.924105	147823040	0.03427868	TRIB3
22445	Tril	chr4	83967694-83972540	35	0.0171681	83975823	1.765277766	TRIL
22446	Trim10	chr20	2182944-2191640	62	0.00281942	2199393	2.549840224	TRIM10
22447	Trim11	chr10	"45322198-45335030,45322199-45335030"	100	0.0926736	45332032	1.033043966	TRIM11
22448	Trim13	chr15	"41897190-41936545,41927240-41935719,41927285-41936545,41927493-41936545"	34	0.244427	41910225	0.611850823	TRIM13
22449	Trim14	chr5	"62128940-62153762,62129476-62151663,62129476-62153520,62129476-62154424"	79	0.0121931	62155829	1.913885864	TRIM14
22450	Trim15	chr20	"2194292-2203636,2194373-2200388,2194373-2202039,2194373-2202039"	45	0.00281942	2199393	2.549840224	TRIM15
22451	Trim16	chr10	"49231659-49252651,49231960-49254653"	115	0.00636523	49242796	2.196185899	TRIM16
22452	Trim17	chr10	45307006-45314823	75	0.0794779	45299466	1.099753617	TRIM17
22453	Trim2	chr2	183145095-183223819	109	0.349568	183140669	0.45646833	TRIM2
22454	Trim21	chr1	"167686147-167708735,167686147-167708735,167688735-167700108"	60	0.0738845	167676541	1.131446661	TRIM21
22455	Trim23	chr2	"34255299-34288138,34255300-34288138,34255304-34288140"	31	0.00839629	34248076	2.07591257	TRIM23
22456	Trim24	chr4	65632277-65684746	94	0.0517045	65665468	1.286471657	TRIM24
22457	Trim25	chr10	76343846-76362159	69	0.0370669	76351728	1.431013734	TRIM25
22458	Trim26	chr20	"2201684-2213737,2201684-2224481,2203175-2224463"	67	0.000665529	2226529	3.176833016	TRIM26
22459	Trim28	chr1	"65544368-65551039,65544371-65551043"	4	0.412234	65560362	0.384856192	TRIM28
22460	Trim29	chr8	"47674320-47699065,47674335-47699059"	39	0.598723	47672711	0.222774058	TRIM29
22461	Trim3	chr1	170441661-170464341	35	0.00387381	170462751	2.411861684	TRIM3
22462	Trim30	chr1	169521654-169540238	149	0.112656	169545752	0.948245673	
22463	Trim30c	chr1	"169492785-169505735,169492785-169514195,169492785-169514195"	221	0.0432184	169485673	1.364331315	
22464	Trim31	chr20	"2146244-2159631,2146262-2159875"	133	0.00113495	2148990	2.945023271	TRIM31
22465	Trim32	chr5	"81431553-81449023,81431599-81442451"	32	0.0112705	81455101	1.948056817	TRIM32
22466	Trim33	chr2	"205783251-205863426,205783251-205863426"	93	0.0587754	205852837	1.230804407	TRIM33
